Timestamp,Which course are you currently enrolled in?,FF_Influence_Activity,FF_Working__Activity,FF_Heard_CCM,TWED_Affordable,TWED_Location,TWED_Programs,TWED_Online,TWED_FF,TWED_Faculty,TWED_Repuation,TWED_Scholarships,TWED_Transfer,TWED_Class_Size,TWED_ExtraC,G_Programs,RE_GuidanceHS,RE_IT_Website,RE_Admissions,RE_GuidanceCCM,RE_Employer,RE_Other,G_WebDev,G_Cyber,G_App,G_Data,G_ML_AI,G_CMP,G_GameD,G_Hardware,Gender,R/E,Age
2024/09/19 9:54:19 PM AST,CMP 126 Computer Technology and Applications,0.0,0.0,0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fire Science ,0,0,0,0,0,Don't recall,0,0,0,0,0,0,0,0,Man,White/Caucasian,21-24
2024/09/19 10:34:09 PM AST,CMP 126 Computer Technology and Applications,0.0,0.0,1,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,2.0,Criminal Justice,1,1,1,1,1,Don't recall,0,1,0,0,0,0,1,1,Man,White/Caucasian,19-20
2024/09/19 10:34:24 PM AST,CMP 126 Computer Technology and Applications,0.0,0.0,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Child and Family Studies,0,Don't recall,Don't recall,0,0,0,0,0,0,0,0,0,0,0,Woman,White/Caucasian,19-20
2024/09/20 8:24:27 AM AST,CMP 126 Computer Technology and Applications,,0.0,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,Child and Family Studies,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Woman,Hispanic or Latino,19-20
2024/09/20 3:12:26 PM AST,CMP 126 Computer Technology and Applications,,,0,2.0,2.0,,,,,,,,,,Liberal Arts,0,0,0,1,0,0,0,1,0,1,1,0,0,0,Woman,Choose not to reply,35-64
2024/09/20 8:42:54 PM AST,CMP 126 Computer Technology and Applications,,,1,2.0,2.0,2.0,2.0,,,2.0,,,,,Nursing,Don't recall,Don't recall,1,1,1,Don't recall,1,1,1,1,1,1,0,1,Woman,White/Caucasian,25-34
2024/09/20 10:55:34 PM AST,CMP 101 Computer Information Literacy,1.0,1.0,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Early Childhood Education,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,0,1,0,0,0,1,1,0,Woman,Hispanic or Latino;White/Caucasian,21-24
2024/09/20 11:02:45 PM AST,CMP 126 Computer Technology and Applications,1.0,1.0,1,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,Liberal Arts,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,1,1,1,0,0,0,0,0,Woman,Hispanic or Latino,19-20
2024/09/20 11:07:16 PM AST,CMP 126 Computer Technology and Applications,0.0,0.0,1,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Liberal Arts,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Woman,Black/African American,19-20
2024/09/21 5:06:23 PM AST,CMP 101 Computer Information Literacy,1.0,0.0,1,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,Nursing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Man,Hispanic or Latino,19-20
2024/09/22 10:08:19 PM AST,CMP 126 Computer Technology and Applications,0.0,0.0,1,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,Child and Family Studies,0,0,0,1,0,0,0,0,0,0,1,0,0,1,Woman,Asian,21-24
